churn,chat_log
yes,"Klient: Cóż, osobiście mam bardzo duży problem.Od jakiegoś czasu jestem klientem Telcom.Naprawdę podoba mi się usługa, ale wyraźnie zbliża się.
Agent Telcom: Och, przepraszam, że to słyszę, więc co się stało?
Klient: Cóż, to tylko usługa zmienia się na nowego dostawcę, a nowy dostawca jest okropny.Coraz więcej ładują za tę samą usługę.
Agent Telcom: OK, więc rozumiem, że klient nadal ma stary numer telefonu i nowy numer telefonu.Czy to prawda?
Klient: Tak.
Agent Telcom: OK.Dlaczego więc mieliby zmienić"
yes,"Klient: Cóż, jestem z Telcom od 9 lat i jestem z tym samym dostawcą.I w końcu postanowiłem zamówić nowy modem dla mojego nowego domu, a oni wysłali mi niewłaściwy modem.Coś, z czym nigdy nie miałem problemu poza deformacją okablowania, które wciąż należy naprawić.
Agent Telcom: Och, to wszystko, co mogę zrobić, prawda?Nie mogę nic z tym zrobić.
Klient: Nie, naprawdę mam nadzieję, że mogę anulować, a nawet zapłacę resztę umowy, jeśli naprawdę chcę.
Agent Telcom: Jaki jest problem David?
Klient: Cóż"
yes,
yes,"Klient: Nie mogę uzyskać terminu, nigdy wcześniej nie skontaktowałem się z tobą.Właśnie dziś dowiedziałem się o tej usłudze.Chcę anulować umowę i przejść dalej.
Agent Telcom: Okej, mogę powiedzieć, na czym polega Ron, mieliśmy wiele skarg ludzi takich jak ty, którzy są rozczarowani tym samym.Mogę powiedzieć, że 70 procent naszych klientów zaleca korzystanie z Telco, ponieważ jakość usług jest znacznie lepsza.Więc masz dobrą wartość, a cena jest bardzo rozsądna.A jeśli chcesz anulować umowę, możesz to zrobić teraz.
Klient: Ale wtedy byłbym zamknięty.
Agent Telcom"
yes,"Klient: Przykro mi, że Daniel, ale wygląda na to, że obsługa klienta Telcom jest całkowicie nieprzydatna.Nie powitali mnie w niedawnej zmianie nabożeństwa i dali mi to, że nie jest to prawdziwe wyjaśnienie, dlaczego.Mam więc nadzieję, że będą proaktywni w rozwiązaniu problemu.
Agent Telcom: Och, przykro mi, że słyszę tę Dorothy.
Agent Telcom: Co mogę zrobić, aby Ci dzisiaj pomóc?
Klient: Szukam nowego dostawcy.Mój obecny Telcom to straszna sprawa.Płacę za 20 Mb / s z 2x 10 GB, a kiedy używam tych limitów, płac mi"
no,"Klient: Próbuję zaktualizować moje dane, obecnie płacę 95 USD za 6 miesięcy z 2 GB.
Agent Telcom: OK, to 46,95 USD przez 60 dni.Czy chciałbyś plan płatności?
Klient: Chciałbym plan płatności.
Agent Telcom: OK, wymyślę to i skontaktuję się z tobą.Dziękuję Ci.Twój główny kontakt jest tutaj.
Klient: Dziękuję.Mój główny kontakt jest tutaj.
Agent Telcom: Lewis, chciałbym zaktualizować twoją linię telefoniczną.
Klient: OK.
Agent Telcom: Chciałbym zaktualizować"
no,
yes,"Klient: Cóż, zamierzałem przenieść moje dane innym dostawcy, ale kiedy zadzwoniłem, nie słyszałem pracownika, ponieważ przechodziłem przepływ filmu.Zadzwoniłem więc do innego agenta Telcom i powiedział, że nie są w stanie przenieść moich danych, które, jak mi powiedziano, wydarzy się dzisiaj.Miałem nadzieję, że możesz mi powiedzieć, dlaczego to się nie dzieje?
Agent Telcom: Cóż, przepraszam, muszę przejść przez mojego przełożonego.Wrócę do ciebie później dzisiaj.
Klient: OK, dziękuję.Do widzenia!
Agent Telcom: pa!
SIS AGENT: Hello, Chad.
Klient:"
yes,"Klient: Cóż, mój pakiet Telcom, który kupiłem od ciebie, wygasł w ciągu półtora miesiąca i mam dość radzenia sobie z tobą na czymś tak trywialnym.Częścią umowy było uzyskanie wielu nowych modernizacji prędkości, a teraz mówię: „Wiesz, nie jestem teraz bardzo zadowolony z tego kontraktu i nie jestem też zadowolony z tej usługi”.Chciałbym więc rozwiązać umowę.
Agent Telcom: OK.Cóż, może możemy o tym porozmawiać w innym czasie.Okej, dajmy Ci nowy pakiet Telcom.
Klient: Och, ok.Świetny.Więc dzwonisz, aby anulować mój nowy pakiet Telcom"
no,
no,"Klient: Chciałbym zaktualizować mój głos do premium.
Agent Telcom: OKAAAAAAY, Cóż lub dane, których nie wiem ... możesz zadzwonić na swoje konto i możemy omówić szczegóły aktualizacji i co możemy zrobić, aby to się stało.
Klient: Mam więc wszystko, czego potrzebuję, że właśnie zaczynam zacząć od telefonu, ale po prostu nie wiem, jak ulepszyć mój głos czy coś takiego.Jest tylko jeden numer, który mogę zadzwonić, a to 3556046017 i to teraz numer na moim koncie.
Agent Telcom: Fantastyczny."
no,"Klient: Chciałbym zaktualizować moją usługę do danych, tekstu i głosu po 15 USD miesięcznie.
Agent Telcom: Dziękuję za entuzjazm Charlyn.Nie trzeba się spieszyć, będziemy monitorować połączenie i jak najszybciej polecamy aktualizacje do Twojej grupy.
Klient: Tak, właśnie zadzwoniliśmy, aby poinformować Telcom znać, że uaktualniliśmy, a wszystko po raz kolejny obniżyli cenę.Cześć!
Agent Telcom: Cieszę się, że Charlyn, jestem pewien, że nie masz problemów z Telcom.Sprzedaj całą istniejącą usługę Telcom i kontakt"
no,
no,"Klient: Mam więc 2 -letni rachunek i nie miałem z tym problemów.Ale jeśli uaktualnię do 3G i 4G LTE i zakładam, że będę musiał zapłacić ten sam miesięczny rachunek, ale bez możliwości aktualizacji?
Agent Telcom: Rosario to właśnie zamierzałem dać ci moją rekomendację.Wiem, że ceny wynoszą o około 25 dolarów wyżej w Twojej okolicy, ale jeśli mógłbyś oddzwonić za kilka dni, chętnie połączyłem cię z doradcą, który mógłby pomóc w Twojej propozycji.Dziękuję za biznes Rosario.
Klient: OK, ale"
no,"Klient: Chciałbym zaktualizować moją usługę do 25 Mb / s przy 50 dolarach miesięcznie.
Agent Telcom: Dziękuję Theodore.A jakie prędkości chciałbyś wykorzystać?
Klient: Chciałbym 25 Mbps.
Agent Telcom: czy mam rację, rozumiejąc, że nie musisz w tej chwili zaktualizować prędkości pobierania?
Numer klienta.
Agent Telcom: Dziękuję Theodore.Myślę, że to prawda.W porządku, cóż, ponieważ nie osiągnąłeś daty aktualizacji, oznacza to, że masz talent przez pozostałe trzy miesiące, prawda?
Klient: Tak.
Agent Telcom: i powinieneś"
no,"Klient: Chciałbym uaktualnić do nieograniczonego pakietu danych.
Agent Telcom: Cześć, to świetny pomysł, panie, chętnie uaktualnię twoją usługę do tego.Proszę, zadzwoń za kilka dni.
Klient: OK.Dotarcie do Telcom zajęło około 18 godzin, ponieważ będzie to długi telefon.Potrzebuję, żebyś podał mi swój numer i mój imei.
Klient: Mogę dać ci mój numer i mój IMEI.
Agent Telcom: W porządku.Możesz oddzwonić za kilka dni ze swoim numerem i IMEI.
Teren"
no,"Klient: Wszystkie trzy.Dwa pozostałe rachunki, na które mam już zadbanie, więc chciałbym wypróbować Internet za dodatkowe 9,95 USD miesięcznie.
Agent Telcom: Wspaniale jest słyszeć Stacy.Z przyjemnością uaktualnimy twoją usługę do naszego najpopularniejszego planu pakietu.Daj mi znać, kiedy będziesz gotowy zweryfikować swoje konto.
Klient: Jasne.Kiedy wejdę do biura, sprawdzę twoje ceny i zacznę od tego.
Agent Telcom: OK.A teraz Jeśli chodzi o status konta, przepraszam, Stacy, ale będziesz musiał oddzwonić po zweryfikowaniu konta"
no,"Klient: Szukam zmian w obecnym planie Verizon, który mam.
Agent Telcom: Zacznę technika od sprawdzania szczegółów posiadanego planu.Zrobię to później.Czy mogę znowu dostać twoje imię?
Klient: Cześć, to jest Veronica i nazywam się Veronica.Czy mogę zacząć od otrzymania twojego imienia i numeru telefonu?
Agent Telcom: Cześć Veronica.Pewnie.I jak mogę ci dzisiaj pomóc?
Zastępca agenta Telcom: Cieszę się, że Veronica.I jak mogę ci dzisiaj pomóc?
Agent Telcom: Cześć Veronica"
no,"Klient: Chciałbym uaktualnić głos i tekst za 20,00 USD miesięcznie.
Agent Telcom: Dziękuję Richard.Czy chciałbyś złożyć kolejne zamówienie na głos i tekst?
Klient: Tak, pozwól mi umieścić to w formularzu zamówienia.Będzie to powtarzające się miesięczne zamówienie, które nastąpi przez następne cztery lata.
Agent Telcom: W porządku Richard, gdzie masz swoje miejsce prowadzenia działalności?
Klient: w Kolorado.
Agent Telcom: OK.Świetny.Więc masz adres w Kolorado?
Klient: Tak.
Agent Telcom: i numer telefonu?
Klient:"
no,"Dane klienta.
Agent Telcom: OK.Jaka jest ilość danych, których szukasz?
Klient: 66600 i szukam planu od 60 USD miesięcznie przez 4 miesiące.
Agent Telcom: Rozumiem.A jak za to zapłacisz?
Klient: Nie mam konta bankowego.Jestem studentem, który zaoszczędził wszystkie moje pieniądze na ostatnie 2 lata, więc mogę sobie na to pozwolić.
Agent Telcom: OK.Cóż, jeśli chcesz kupić telefon, możemy to zrobić.Jaki jest haczyk?
Klient:"
no,"Klient: Chciałbym zaktualizować umowę na konto Google Voice.
Agent Telcom: OK.A jaka jest twoja obecna umowa z Telcom?
Klient: Vodafone Mobile…
Agent Telcom: A jaki jest numer telefonu?
Klient: (TNG)
Agent Telcom: OK, a jaki nowy numer telefonu chcesz zostać przeniesiony?
Klient: Mój obecny numer telefonu to (TNG)
Agent Telcom: A jaki jest twój obecny numer telefonu?
Klient: (TNG)
Agent Telcom: OK, a ile"
yes,
no,"Klient: Chcę aktualizować i to nie jest już usługa, ale prędkość.
Agent Telcom: Świetnie, poinformuję technika.Teraz rozumiem, do czego się masz, więc dlaczego nie powiesz mi więcej o swoim problemie?
Klient: Cóż, próbowałem kupić nowy telefon, a twoja cena jest dla mnie nieco powyżej innych dostawców.Nie mam umowy z Telcom, więc nie wiem, jak na to narzekać.
Agent Telcom: Oku, przepraszam Margie.I przepraszam, że musisz zapłacić wyższą stawkę"
no,
no,"Klient: Chciałbym zaktualizować usługę głosową do usługi 10 meg.
Agent Telcom: Świetnie, dostanę ci wycenę.Czy masz jakieś inne pytania, na które potrzebujesz odpowiedzieć na nowy telefon?
Klient: Nie, wiem, co chcę robić.Po prostu nie chcę podejmować decyzji, dopóki nie wrócę do domu, aby upewnić się, że jest włączony.
Agent Telcom: W porządku, upewnię się, że dostanę telefon, abyś mógł do mnie zadzwonić.Jeśli mam więcej pytań, mogę ci odpowiedzieć.
Klient: Dziękuję tak"
no,"Klient: Cóż, muszę uaktualnić swój głos do VoIP.
Agent Telcom: Czy masz dobry plan internetowy?
Klient: Nie, jeszcze nie.
Klient: Mój numer telefonu to 3279142452, musisz sprawdzić moje konto dla nowej wiadomości.
Agent Telcom: Barbara, Twoje konto nie pokazuje żadnych nowych wiadomości.
Barbara: Tak, dostaję wiadomości tu i tam, ale nie pochodzą z Telcom, byli z kogoś innego.
Agent Telcom: Cóż, Barbara, nadal jesteś z AOL.Musisz się z nami skontaktować, a my możemy mieć"
no,
no,"Klient: Jestem zainteresowany aktualizacją do danych.
Agent Telcom: z Telcom i planem, który masz już przekroczenie limitu danych w naszej usłudze.Być może nadszedł czas, aby rozważyć nowy plan.Twój plan wynosi już 14,99 miesięcznie i obecnie nie jest dostępny do aktualizacji.Z przyjemnością pomogę w znalezieniu nowego planu.
Agent Telcom: Z przyjemnością omówię z tobą opcje aktualizacji.Dziękuję za zadzwonienie do Telcom.
Agent Telcom: Sprawdźmy teraz Twoje konto.
Klient: Hej!Chcę tylko sprawdzić, czy mogę uaktualnić dane."
no,"Klient: Jestem mieszkańcem stanu Oregon i chciałbym zaktualizować do nieograniczonej liczby danych.
Agent Telcom: Och, to świetnie.Czy możesz iść naprzód i wypełnić nasz formularz gwarancyjny?
Klient: Jasne.Chciałbym zaktualizować moją istniejącą umowę do trzech lat i 13 miesięcy.
Agent Telcom: Dziękuję Mary i dziękuję za bycie lojalnym klientem Telcom."
no,"Klient: głos, tekst i dane.
Agent Telcom: A jaki byłby twój obecny termin?
Klient: Mam umowę przez 12 miesięcy.
Agent Telcom: A jak długo trwa Twój obecny termin?
Klient: To 3 lata.
Agent Telcom: Dziękuję Ronnie.Dokument, który mi dostarczyłeś, miał około miesiąca, więc możesz przesłać mi zaktualizowany?
Klient: Jasne.Pewny.
Agent Telcom: Czy możesz po prostu przestrzegać warunków serwisowych, które im dostarczasz?
Klient: Jasne, mogę.Mam na myśli, że mogę przejść przez całość i po prostu"
no,
no,"Klient: Chciałbym uaktualnić DNA HTC DROOD.
Agent Telcom: Świetnie!Jaka jest obecna cena?
Klient: Obecnie kosztuje 199,99 USD.
Agent Telcom: Chciałbym przeprowadzić szybką ankietę, aby uzyskać więcej informacji o twoich potrzebach.Czy masz jakieś konkretne funkcje, które chciałbyś zobaczyć?
Klient: Tym, który jest dla mnie naprawdę ważny, jest nowa nawigacja.
Agent Telcom: Świetnie!A ile innych osób masz w swoim domu?
Klient: Telefon nie działa dla mnie.
Agent Telcom: Więc powieszmy"
no,
no,"Klient: Och, obecnie jestem w sieci Metrocom z głosem, tekstem i danymi.
Agent Telcom: Dziękuję za tę Joyce.Przykro mi, że jest to poza naszą siecią wszystkie nasze pops dla naszych agentów obsługi klienta, które mamy w biurach, to popowe pudełka.Więc musiałbyś to zrobić.I to jest telcom.com.Mam cię wstrzymaną i wrócę z tobą.
W tym momencie agent Telcom rozłącza telefon i zaczyna omawiać opcje klienta.W końcu dostaje Joyce do kliknięcia do opcji danych i zaktualizowania do 2 GB danych za 45 USD"
no,"Klient: Głos jest bezpłatny i używam go na moim telefonie Verizon.Przechodziłem bezpłatny proces i bardzo mi się to podoba.Zastanawiałem się, czy mogę zaktualizować moje usługi do pakietu 1 GB za 20 USD miesięcznie.
Agent Telcom: Ciekawe.A jaka jest Twoja obecna stawka w Telcom?
Klient: Będę zaktualizować moją usługę do pakietu 1 GB za 20 USD miesięcznie.
Agent Telcom: Awesome.I czy możesz dać mi znać, w jakiej lokalizacji mieszkasz?
Klient: Mieszkam w hrabstwie Orange.Myślę, że muszę iść na wiek"
no,
no,"Klient: Cóż, chciałbym uaktualnić dane, dziękuję za pytanie.Jestem subskrybentem Telcom od trzech lat.Pierwszy rok był dobry, a potem usługa bardzo się pogorszyła.Kiedy zadzwoniłem do Telcom w lipcu 2011 r., Moja polityka stwierdza, że nie kwalifikuję się do jakichkolwiek aktualizacji lub rabatów.Przez półtora roku dzwoniłem do Telcom co 3 tygodnie, aby uzyskać aktualizację i bezskutecznie.Na początku myślałem, że problem dotyczy systemu, moje połączenia się przechodzi, ale teraz zdaję sobie sprawę, że problem dotyczy agenta Telcom.To, co wyjaśniłem agentowi, to ... Telcom"
no,
no,"Klient: Chciałbym zaktualizować część danych mojej umowy do 4G LTE.
Agent Telcom: 4G LTE?To fantastyczna cena!Jaki plan miałeś wcześniej?
Klient: Jeden z trzech planów, które miałem wcześniej z zasiedziałym dostawcą usług.
Agent Telcom: OK.Jaki plan miałeś wcześniej?
Klient: Cóż, bardzo podobały mi się 3 gramy i 5 gramów, które mogłem z tym dostać.Ale potem zostałem uderzony do 2 gramów i 6 gramów, a następną rzeczą, którą wiem, okazuje się, że nie oferują 3"
no,
no,"Klient: Chciałbym zaktualizować usługę głosową.Dziękuję.
Przeniesienie:
Klient: Cześć.To Carolyn DeWitt z Telcom.Jestem bardzo zadowolony z Twojej usługi Telcom.Chciałbym, żebyś przeniósł mnie do usługi Premium Telcom, gdzie mogę otrzymać 20 -minutową rozmowę głosową za 30 USD/miesiąc.A także 30 -minutowa wiadomość tekstowa za 15 USD/miesiąc.Czy to w porządku z tobą?
Agent Telcom: Bardzo dobrze.Dziękuję Ci.Mamy opłatę w wysokości 10,00 USD za przeniesienie Cię do usługi Premium Telcom.
Klient: OK."
no,"Klient: Używam głosu od dnia, w którym pojawił się mój telefon i obecnie używam 35 USD miesięcznie do Internetu.Chcę uaktualnić tekst, a to byłoby 40 USD miesięcznie.
Agent Telcom: Świetnie, jakie jest saldo na Twoim koncie?
Klient: 36,39 USD
Agent Telcom: Świetnie, dziękuję James.Przykro mi, że miałeś problem z usługą.Czy możesz mi powiedzieć, gdzie mogę sprawdzić, czy istnieje rozwiązanie tego problemu?
Klient: Jasne, oto moje dane kontaktowe.
Agent Telcom: Dziękuję za przekazanie"
no,"Klient: Voice: Używałem głosu do telefonu i byłem z niego zadowolony, ale teraz chcę uaktualnić SMS -a.
Klient: Dobra, fajnie.Czy możesz wysłać mi nowy pakiet?
Agent Telcom: Pewnie Jessica, możemy wysłać Ci nowy pakiet z Centrum Obsługi Klienta O2.Już to dla ciebie skonfigurowałem.
Klient: Czy mogę mieć nowy pakiet w ciągu najbliższych kilku dni?
Agent Telcom: Oczywiście.Jesteśmy teraz skonfigurowani.
Klient: OK, wszystko będzie dobrze.Dziękuję za rozmowę ze mną.
Telcom"
no,"Klient: Ummm, przepraszam, ale to głos i tekst.
Agent Telcom: ile by to było?
Klient: Nie wiem.Nie wiem.
Agent Telcom: Rozumiem, ale jest to miesięcznie.Musiałbyś zapłacić 45 USD miesięcznie za głos i tekst, prawda?
Klient: Tak.To 300 USD miesięcznie i musisz za to zapłacić 45 USD.
Agent Telcom: Doskonały.W tej chwili masz dwuletnią umowę.Załóżmy, że wcześniej nie możesz zaktualizować swojej usługi"
no,"Klient: Chciałbym zaktualizować mój aktualny plan głosu lub tekstu Telcom do planu danych Telcom.Powiedziano mi, że w dowolnym momencie będziemy mogli zaktualizować nasze rozliczenia przez telefon.
Agent Telcom: A jak długo będziesz w tym samym miejscu?
Klient: Zatrzymam się tutaj przez około 2 miesiące.
Agent Telcom: Świetnie.Więc jeśli nie masz nic przeciwko, czy mogę podążać za mną na zewnątrz i podążać za mną do mojego pojazdu i zadzwoń do mnie rano na linii przychodzącej?
Klient: Jasne.
Agent Telcom: Dziękuję.Proszę stwierdzić, że jesteś „David” i"
no,"Klient: Cześć, chciałbym zaktualizować usługę głosową, aby rozmawiać, tekst i dane, a także zwiększyć mój wolumen.Obecnie mam 2 -letnią umowę z Telcom z 1 -letnim przedłużeniem.
Agent Telcom: Przepraszam Michael, obawiam się, że to nie jest możliwe w przypadku Telcom.Obawiam się, że będziesz musiał udać się do lokalnego przewoźnika, aby ulepszyć.
Klient: Nie, to nieprawda, mogę to zrobić sam.Nie jestem jednak pewien, z którym przewoźnikiem chciałbym iść.Moi przyjaciele powiedzieli mi, że w ogóle nie są zadowoleni z służby, oprócz dobrego"
no,"Klient: Chciałbym uaktualnić do aktualizacji głosu.
Agent Telcom: OK, a do jakiego numeru telefonu chcesz użyć do aktualizacji?
Klient: Muszę zaktualizować do tego numeru telefonu T-Mobile, ponieważ jest to numer telefonu Verizon
Agent Telcom: OK i jakiego rodzaju telefonu będziesz używać?
Klient: Używam dziś telefonu Verizon
Agent Telcom: OK, a jaki jest twój obecny poziom usług?
Klient: Mam umowę z Verizon.Niedawno otrzymałem obniżenie usługi do małego telefonu komórkowego, który jest teraz martwy.pracuję nad"
no,"Klient: głos.
Agent Telcom: Świetnie!To wszystko, co muszę wiedzieć.A jeśli chcesz anulować istniejącą umowę, czy masz takie powiadomienie?
Klient: SMS.
Agent Telcom: Świetnie, zatrzymam to dla ciebie.Czy masz jakieś pytania lub uwagi?
Klient: Po prostu poinformować Cię, że nie jestem zainteresowany aktualizacją mojej umowy, ale pamiętaj, że jesteśmy jednym z niewielu dostawców w kraju, który ma program bez kontraktury.
Agent Telcom: Świetnie!Bardzo dobrze wiedzieć.Cóż, nie jestem tego pewien, ale jestem"
no,"Klient: Chcę zaktualizować usługę głosu, tekstu i danych.
Agent Telcom: Świetnie.Jaki jest twój istniejący plan stawek?
Klient: I chciałbym obniżyć mój istniejący numer telefonu do nowego numeru.
Agent Telcom: OK.A gdybym był tobą, chciałbym uzyskać nowy numer telefonu i zaktualizować swój adres do 2325 Birney Road.
Klient: Z pewnością podam mój nowy numer telefonu i adres.
Agent Telcom: Świetnie.I mam do ciebie inne pytanie Alana.Czy mógłbyś trzymać się przez chwilę.
Klient:"
no,"Klient: Cóż, podoba mi się opcja tekstu, ponieważ moja umowa nie zawiera żadnych danych, które chciałbym zaktualizować do opcji tekstu.
Agent Telcom: oczywiście Mary.Chciałem więc zapytać o twój sprzęt.Muszę się dowiedzieć, czy twoja usługa ma modem?
Klient: Nie, to nie, ale ma 4-kierunkowe gniazdo audio do połączeń telefonicznych.
Agent Telcom: Nie, to nie, cóż, jaki był numer telefonu, który umieściłeś w modemie?
Klient: To było 714-581-1313;Liczba, którą znalazłem z tyłu modemu."
no,
no,"Klient: Och, chciałbym zaktualizować moje dane.
Agent Telcom: W porządku, więc masz tę funkcję głosu, prawda?
Klient: Tak.
Agent Telcom: Czy mogę uzyskać dodatkową linię danych?
Klient: Tak, to ten, którego chcę.
Agent Telcom: W porządku, mogę uzyskać rabat o wartości 100 USD za dodatkowe 10 minut.Więc to 3,16 USD za minutę, której nie będę ci pobierać.Ale będziesz je obciążony przez cały dzień.Więc jeśli chcesz przekazać dodatkowe minuty, zostaniesz obciążony przez 10 minut."
no,"Klient: Chciałbym zaktualizować usługę głosową.
Agent Telcom: W porządku, oto nasza cena za opłaty głosowe.Masz co najmniej 10 USD miesięcznie.Jest to w 16 -dniowej umowie i dotyczy wszystkich planów głosowych Telcom.
Klient: Och, OK (kontynuuje).Mam to 50 USD miesięcznie.
Agent Telcom: Bardzo dobrze, bardzo dobrze.Tutaj dostanę dodatkowe 10 USD miesięcznie (ogółem 20 USD).
Klient: Och, dzięki.Czy mogę zaoszczędzić 20 USD miesięcznie?
Agent Telcom: Tak William.będę"
no,
no,"Klient: Używam Telcom od 3 lat i byłem całkowicie zadowolony z tej usługi.Chciałbym zaktualizować mój obecny plan do nowego planu.Jaka jest teraz moja najlepsza cena?
Agent Telcom: Roger, to dobre pytanie.Twoje najlepsze ceny dostępne w obecnym planie to 218990000, co daje nieograniczony głos i dane.Czego szukasz?
Klient: Szukam oferty od 80% do 85%, ponieważ obecnie płacę 219990000.
Agent Telcom: To dobra sugestia, Roger.Mamy plan 4"
yes,"Klient: Jestem bardzo oszczędną osobą i postanowiłem jakiś czas temu, aby przestać korzystać z domu w Internecie, ponieważ pomyślałem, że użyję więcej na drodze.
Agent Telcom: Przykro mi, że postanowiłeś przestać korzystać z domowego Internetu, ale myślę, że możemy ci w tym pomóc.
Agent Telcom: OK.Rozumiem więc, że używasz routera bezprzewodowego.
Klient: Tak.
Agent Telcom: Czy możesz podłączyć nasz router bezprzewodowy i po prostu rozpocząć przesyłanie domowych filmów, muzyki z komputera na urządzenie bezprzewodowe, a następnie podłączyć je do routera?
Klient: Jasne.
Agent Telcom: a potem go połączę"
no,"Klient: Chciałbym zaktualizować moją usługę do nowego pakietu internetowego z dużą prędkością.
Agent Telcom: Jasne Misty, możesz to zrobić.Czy masz roczną umowę z Telcom?
Klient: Mam 3 -letnią umowę z Telcom.
Agent Telcom: W porządku, więc chciałbyś podpisać 2 -letni kontrakt?
Klient: Jasne.
Agent Telcom: Gratulacje, jesteś teraz w serwisie internetowym Telcom Fibre.Jaka jest struktura cen?
Klient: Ceny są następujące.
Agent Telcom: ceny są następujące?Ale co płacisz?"
no,"Klient: Chciałbym zaktualizować mój plan danych do planu danych komórkowych Zetela Telcom.
Agent Telcom: Oprócz powyższego, a co z telefonem?
Klient: Mam iPhone'a 5.
Agent Telcom: Dziękuję Carroll.Czy chciałbyś zatrzymać telefon oprócz połączenia?
Klient: Tak.Daje mi to większą elastyczność w użyciu danych.
Agent Telcom: Dziękuję, Carroll.Czy chciałbym, żebym oddzwonił za kilka minut, aby omówić twój plan?
Klient: Jasne.*Agent Telcom odjeżdża ją z powrotem.Pierwszy telefon"
no,"Klient: Chciałbym zaktualizować moją prędkość.Jaki rodzaj prędkości chciałbyś?
Agent Telcom: Hmmm ... pozwól mi sprawdzić.Zacznij od podania mi imienia, numeru telefonu i bieżącej prędkości.
Klient: Jestem Cedric, to mój numer telefonu.
Agent Telcom: OK, cóż, Cedric, masz na celu nową umowę.
Klient: Dziękuję bardzo.I Cedric, czy możesz zacząć od podania mi tego rodzaju usługi, którą obecnie oferujesz.
Agent Telcom: Um, przepraszam, że już sprawdziłem stawki historyczne.Czy mogę sprawdzić"
no,"Klient: Nadal jestem w części głosowej, jak ulepszyć?
Agent Telcom: Cieszę się, że podałeś mi swój numer?
Klient: Zrobiłem, czy możesz mi po prostu podać swoje imię?
Agent Telcom: Tak, możemy, Mary.
Agent Telcom: Mary, masz teraz do Telcom, aby podpisać jeden z dwóch nowych umów.Będę z tobą tak szybko, jak to możliwe.
Agent Telcom: Dziękuję Mary.
Klient: Cieszę się, że to słyszę.Dziękuję za twoją usługę.Byłeś bardzo uważny, bardzo dziękuję.
Agent Telcom"
no,"Klient: Jestem bardzo zadowolony z otrzymanych usług głosowych i tekstowych, jednak szukam lepszej wartości dzięki mojej usłudze danych.
Agent Telcom: Jaki jest twój plan?
Klient: Moim jedynym planem jest 30 minut ruchu.
Agent Telcom: OK, Johnnie.Oto, co zrobimy.Chcę, żebyś poszedł na stronę poniżej, opowiedział nam trochę o sobie, swojej rodzinie i może trochę o tym, gdzie mieszkasz.
Klient: Jasne, śmiało.
Agent Telcom: i opowiedz mi trochę o sobie.Czy masz dzieci"
no,"Klient: Jestem zainteresowany aktualizacją mojej części danych.Czy możesz podać mi krótki opis tego, co muszę zrobić, aby tak się stało?
Agent Telcom: Jasne.Mamy plan, który oferujemy od lat, który ma miesięczną stawkę 49,00 USD miesięcznie i oferuje 10,00 USD miesięcznie dla klientów, którzy zajmują się planem smartfona.Jest więc kompatybilny ze wszystkimi planami smartfonów, a także z planami Wireless i T-Mobile.Musisz przejść do strony mojego konta w Telcom i kliknąć przycisk Dodaj do koszyka.Kiedy to robisz"
no,"Klient: Chcę tylko uaktualnić głos.
Agent Telcom: Które z usług chcesz zaktualizować?
Klient: Nadal mam głos i tekst.Chciałem tylko zaktualizować dane.
Agent Telcom: Dziękuję za twój biznes William i mam nadzieję, że wkrótce się odezwiesz.
Klient: W międzyczasie chciałbym wiedzieć, czy mogę anulować usługę, którą obecnie jestem.
Agent Telcom: Tak, nie mogę po prostu anulować umowy Williama, lepiej daj nam swój nowy numer telefonu, a twój nowy numer to 2175901011.
Klient: OK, dzięki.
Telcom"
yes,"Klient: Więc byłem bardzo niezadowolony z tej usługi i chciałbym anulować moją obecną umowę.
Agent Telcom: OK, czy proszę podać mi swoje imię i nazwisko i numer telefonu.
Klient: Witam, to Rosalyn.
Agent Telcom: Dziękuję.I jak mogę ci dzisiaj pomóc?
Klient: Więc byłem bardzo niezadowolony z tej usługi i chciałbym anulować moją obecną umowę.
Agent Telcom: I czy proszę podać mi swoje imię i nazwisko i numer telefonu.
Klient: Witam.
Agent Telcom: Będę z tobą dobrze.Mogę Ci z tym pomóc.Czy ktoś może zejść i"
no,"Klient: Zastanawiałem się, czy mogę uaktualnić do planu danych.
Agent Telcom: Czy masz numer telefonu osoby, którą chciałbyś zadzwonić?
Numer klienta.
Agent Telcom: Och, przepraszam, że to był błąd z mojej strony.Czy mogę ci pomóc?
Klient: Czy byłeś w stanie znaleźć moją nową umowę?
Agent Telcom: Czy jest jakiś powód, dla którego byś tego nie zrobił?
Klient: Chciałbym móc wykonywać więcej połączeń z członkami mojej rodziny w ramach mojego istniejącego planu serwisowego.
Agent Telcom: Co przez to rozumiesz?"
no,"Klient: Obecnie jestem w pakiecie Elite Telcom za 120 USD miesięcznie.Chciałbym zaktualizować do pakietu nieograniczonego Telcom o wartości 160 USD miesięcznie.Czy masz jakieś zniżki lub oferty na tę aktualizację?
Agent Telcom: Tak, robimy.Oferujemy 15 USD miesięcznie zniżkę dla klientów, którzy zapisują się na 10 lub więcej dni usług i są w planie Telcom Unlimited.Po zakupie usługi pierwszego miesiąca oferujemy również bezpłatny wybór głosu, tekstu lub danych.
Agent Telcom: Czy mogę zadać ci kilka pytań, które pomogą Ci podjąć decyzję?
Klient"
no,
